Key,english,japanese,german
animalBlackHorse,"Wild Black Horse","野生の馬(黒)","Wildes schwarzes Pferd"
animalYellowHorse,"Wild Yellow Horse","野生の馬(黄)","Wildes gelbes Pferd"
animalAlbinoHorse,"Wild Albino Horse","野生の馬(アルビノ)","Wildes Albino-Pferd"
animalCreamHorse,"Wild Cream Horse","野生の馬(クリーム)","Wild Cream Horse"
animalMidnightHorse,"Wild Midnight Horse","野生の馬(ミッドナイト)","Wildes Mitternachtspferd"
animalGrayHorse,"Wild Gray Horse","野生の馬(灰)","Wildes graues Pferd"

----------------Blocks ----------------------
spawnMaybellTrader,"[e7a729]Maybell[-]","[e7a729]メイベル[-]","[e7a729]Maybell[-]"
spawnAbbyTrader,"[e7a729]Abby[-]","[e7a729]アビー[-]","[e7a729]Abby[-]"
spawnLeahTrader,"[e7a729]Leah[-]","[e7a729]リア[-]","[e7a729]Leah[-]"
spawnVincentTrader,"[e7a729]Vincent[-]","[e7a729]ヴィンセント[-]","[e7a729]Vincent[-]"

spawnStabledBrownHorse,"[e7a729]Stabled Brown Horse[-]","[e7a729]馬小屋の馬(茶)[-]","[e7a729]Stallbraunes Pferd[-]"
spawnStabledBlackHorse,"[e7a729]Stabled Black Horse[-]","[e7a729]馬小屋の馬(黒)[-]","[e7a729]Stall Schwarzes Pferd[-]"
spawnStabledAlbinoHorse,"[e7a729]Stabled Albino Horse[-]","[e7a729]馬小屋の馬(アルビノ)[-]","[e7a729]Stall Albino Pferd[-]"
spawnStabledMidnightHorse,"[e7a729]Stabled Midnight Horse[-]","[e7a729]馬小屋の馬(ミッドナイト)[-]","[e7a729]Stall Mitternachtspferd[-]"
spawnStabledYellowHorse,"[e7a729]Stabled Yellow Horse[-]","[e7a729]馬小屋の馬(黄)[-]","[e7a729]Stall Gelbes Pferd[-]"
spawnStabledCreamHorse,"[e7a729]Stabled Cream Horse[-]","[e7a729]馬小屋の馬(クリーム)[-]","[e7a729]Stall Cremepferd[-]"
spawnStabledGrayHorse,"[e7a729]Stabled Gray Horse[-]","[e7a729]馬小屋の馬(灰)[-]","[e7a729]Stall Grey Horse[-]"

----------------Buffs---------------------
buffHorseRanchUnlockNotify
buffHorseRanchUnlockNotifyName,"[e7a729]New Unlocks![-]","[e7a729]レシピ習得！[-]","[e7a729]Neue Freischaltungen![-]"
buffHorseRanchUnlockNotifyDesc,"[e7a729]You've hit a milestone in reputation with the Maybell Ranch. Type Unlock in your recipes to see what you've unlocked.[-]","[e7a729]あなたの評判が上がったため、新しいレシピを習得しました。\n\n何が作れるようになったか、クラフト一覧で確認してみましょう。[-]","[e7a729]Mit der Maybell Ranch haben Sie einen Meilenstein im Ruf erreicht. Geben Sie Freischalten in Ihre Rezepte ein, um zu sehen, was Sie entsperrt haben.[-]"

buffHorseCourseStartName,"[e7a729]Minigame: Horse Course[-]","[e7a729]ミニゲーム： 乗馬コース[-]","[e7a729]Minispiel: Pferdekurs[-]"
buffHorseCourseStartDesc,"[e7a729]Playing a minigame. Ride through 4 check points and the finish line within the time limit to win![-]","[e7a729]馬に乗り、時間内に4つのチェックポイントとゴールを通過するとクリアです！[-]","[e7a729]Ein Minispiel spielen. Fahren Sie innerhalb des vorgegebenen Zeitlimits durch 4 Kontrollpunkte und die Ziellinie, um zu gewinnen![-]"

buffHorseCourseScoreName,"[e7a729]Horse Course Score[-]","[e7a729]乗馬コースのスコア[-]","[e7a729]Pferdekurs Punktzahl[-]"
buffHorseCourseStartDesc,"[e7a729]This amount is added to your horses points. At 500 points, you're able to unlock new saddles.[-]","[e7a729]この数値があなたの馬のポイントへと加算されます。\n\n500ポイント貯まると、馬をアップグレードするために必要な新しいサドルのレシピを習得します。[-]","[e7a729]Dieser Betrag wird zu Ihren Pferdepunkten addiert. Bei 500 Punkten können Sie neue Sattel freischalten.[-]"
buffHorseCourseScoreDisplayName,"[e7a729]Horse Course Score[-]","[e7a729]乗馬コースのスコア[-]","[e7a729]Pferdekurs Punktzahl[-]"
buffHorseCourseScoreDisplayDesc,"[e7a729]This is your time trial score. Completing with more time on the clock will add more to your score. Get 100 points and you'll unlock something fun![-]","[e7a729]これはあなたのタイムトライアルのスコアです。\n\n残り時間が多ければ多いほど、多くのポイントがもらえます。\n\n100ポイント貯まると、面白いレシピがアンロックされます。[-]","[e7a729]Dies ist Ihre Zeitfahr-Punktzahl. Wenn Sie mehr Zeit auf der Uhr haben erhöht sich Ihre Punktzahl. Holen Sie sich 100 Punkte und Sie werden etwas Spaß freischalten![-]"

buffSimonSaysStartName,"[e7a729]Minigame: Simon Says[-]","[e7a729]ミニゲーム：　船長さんの命令(Simon Says)[-]","[e7a729]Minispiel: Simon sagt[-]"
buffSimonSaysStartDesc,"[e7a729]You're playing Simon Says with Abby. Every few seconds, she will call out a color or shape. Quickly get to the correct block to gain a point. Keep an eye on your buff icons. This will let you know which block to go to. Get 10 points in a row and you'll get +1 reputation![-]","[e7a729]アビーと船長さんの命令というミニゲームをして遊びましょう。\n数秒ごとに、アビーが色か形を指定します。\n素早く、指定された色や形のブロックを見つけて上げてください。\n自分のバフを見ると、指定された色か形が分かるようになっています。\n\n10回連続で正解すると、評判が1ポイント上がります。[-]","[e7a729]Du spielst Simon Says mit Abby. Alle paar Sekunden ruft sie eine Farbe oder Form heraus. Gehen Sie schnell zum richtigen Block um einen Punkt zu erhalten. Behalte deine Buff-Symbole im Auge. Dadurch erfahren Sie zu welchem ​​Block Sie gehen müssen. Holen Sie sich 10 Punkte in Folge und Sie erhalten +1 Ruf![-]"
buffSimonSaysCallOutName,"[e7a729]Simon Says...[-]","[e7a729]船長さんの命令で...[-]","[e7a729]Simon sagt...[-]"
buffSimonSaysCallOutDesc,"[e7a729]!!![-]","[e7a729]!!![-]","[e7a729]!!![-]"
buffSimonSaysScoreDisplayName,"[e7a729]Simon Says Score[-]","[e7a729]船長さんの命令スコア[-]","[e7a729]Simon sagt Punktzahl[-]"
buffSimonSaysScoreDisplayDesc,"[e7a729]This is your simon says score. Correctly choosing the color or shape that Abby calls out will add 1 to your score. At 10 points you'll gain +1 reputation![-]","[e7a729]船長さんの命令ミニゲームで入手したスコアです。\n\n正解すると1ポイントずつ貯まります。\n10ポイント貯まると評判が1上がります。[-]","[e7a729]Dies ist dein Simon sagt Punktzahl. Wenn Sie die Farbe oder Form die Abby ausruft richtig auswählen wird Ihre Punktzahl um 1 erhöht. Bei 10 Punkten erhalten Sie +1 Ruf![-]"

buffReputationDisplayName,"[e7a729]Ranch Reputation[-]","[e7a729]牧場での評判[-]","[e7a729]Ranch Reputation[-]"
buffReputationDisplayDesc,"[e7a729]This is your current reputation standing with Maybell, Leah, Vincent, and Abby. Complete quests for these NPCs to gain reputation. You can unlock new recipes and events based on your reputation.\n\nUnlocks:\nA Deal with Vincent (Quest): Requires Reputation 25[-]","[e7a729]牧場でのあなたの評判の数値です。\n牧場にいるNPCたち(メイベル、ヴィンセント、リア、アビー)の依頼をクリアする事で評判を上げることが出来ます。\n\n評判を上げると、新しいレシピやイベントがアンロックされます。\n\nアンロック:\nヴィンセントとの取引 (クエスト): 必要評判ポイント 25[-]","[e7a729]Dies ist Ihr aktueller Ruf bei Maybell Leah Vincent und Abby. Schließe Quests für diese NPCs ab, um an Ansehen zu gewinnen. Sie können neue Rezepte und Ereignisse basierend auf Ihrem Ruf freischalten. Freischalten: Mit Vincent umgehen (Quest): Reputation erforderlich 25[-]"
buffReputationAddDisplayName,"[e7a729]Ranch Reputation[-]","[e7a729]牧場での評判[-]","[e7a729]Ranch Reputation[-]"
buffReputationAddDisplayDesc,"[e7a729]This is your current reputation standing with Maybell, Leah, Vincent, and Abby. Complete quests for these NPCs to gain reputation. You can unlock new recipes and events based on your reputation.[-]","[e7a729]牧場でのあなたの評判の数値です。\n牧場にいるNPCたち(メイベル、ヴィンセント、リア、アビー)の依頼をクリアする事で評判を上げることが出来ます。\n\n評判を上げると、新しいレシピやイベントがアンロックされます。[-]","[e7a729]Dies ist Ihr aktueller Ruf bei Maybell Leah Vincent und Abby. Schließe Quests für diese NPCs ab um an Ansehen zu gewinnen. Sie können neue Rezepte und Ereignisse basierend auf Ihrem Ruf freischalten.[-]"

----------------Items----------------------

resourceBrownHorseSaddle,"[e7a729]Horse Saddle: (Brown)[-]","[e7a729]馬用サドル： (茶)[-]","[e7a729]Pferdesattel: (braun)[-]"
resourceBrownHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルを茶色の馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem braunen Pferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste und Sie erhalten ein Pferd! Vincent wird Ihnen beibringen wie Sie Ihr Pferd pflegen.[-]"
vehicleBrownHorsePlaceable,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]","[e7a729]Gezähmtes braunes Pferd[-]"
vehicleBrownHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2BrownHorsePlaceable,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]","[e7a729]Gezähmtes braunes Pferd[-]"
vehicleT2BrownHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

resourceBlackHorseSaddle,"[e7a729]Horse Saddle: (Black)[-]","[e7a729]馬用サドル： (黒)[-]","[e7a729]Pferdesattel: (schwarz)[-]"
resourceBlackHorseSaddleDesc,"[e7a729]This saddle can be used on a black horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルを黒色の馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem schwarzen Pferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste und Sie erhalten ein Pferd! Vincent wird Ihnen beibringen wie Sie Ihr Pferd pflegen.[-]"
vehicleBlackHorsePlaceable,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]","[e7a729]Gezähmtes schwarzes Pferd[-]"
vehicleBlackHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2BlackHorsePlaceable,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]","[e7a729]Gezähmtes schwarzes Pferd[-]"
vehicleT2BlackHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

resourceYellowHorseSaddle,"[e7a729]Horse Saddle: (Yellow)[-]","[e7a729]馬用サドル： (黄)[-]","[e7a729]Pferdesattel: (gelb[-]"
resourceYellowHorseSaddleDesc,"[e7a729]This saddle can be used on a Yellow horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルを黄色の馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem gelben Pferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste und Sie erhalten ein Pferd! Vincent wird Ihnen beibringen wie Sie Ihr Pferd pflegen.[-]"
vehicleYellowHorsePlaceable,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黄)[-]","[e7a729]Gezähmtes gelbes Pferd[-]"
vehicleYellowHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2YellowHorsePlaceable,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黒)[-]","[e7a729]Gezähmtes gelbes Pferd[-]"
vehicleT2YellowHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

resourceAlbinoHorseSaddle,"[e7a729]Horse Saddle: (Albino)[-]","[e7a729]馬用サドル： (アルビノ)[-]","[e7a729]Pferdesattel: (Albino)[-]"
resourceAlbinoHorseSaddleDesc,"[e7a729]This saddle can be used on an albino horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルをアルビノの馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem Albino-Pferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste und Sie erhalten ein Pferd! Vincent wird Ihnen beibringen wie Sie Ihr Pferd pflegen.[-]"
vehicleAlbinoHorsePlaceable,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]","[e7a729]Gezähmtes Albino-Pferd[-]"
vehicleAlbinoHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2AlbinoHorsePlaceable,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]","[e7a729]Gezähmtes Albino-Pferd[-]"
vehicleT2AlbinoHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

resourceCreamHorseSaddle,"[e7a729]Horse Saddle: (Cream)[-]","[e7a729]馬用サドル： (クリーム)[-]","[e7a729]Pferdesattel: (Sahne)[-]"
resourceCreamHorseSaddleDesc,"[e7a729]This saddle can be used on a cream horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルをクリーム色の馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem cremefarbenen Pferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste um ein Pferd zu bekommen! Vincent bringt Ihnen bei wie Sie Ihr Pferd pflegen.[-]"
vehicleCreamHorsePlaceable,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]","[e7a729]Gezähmtes Sahnepferd[-]"
vehicleCreamHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2CreamHorsePlaceable,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]","[e7a729]Gezähmtes Sahnepferd[-]"
vehicleT2CreamHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

resourceMidnightHorseSaddle,"[e7a729]Horse Saddle: (Midnight)[-]","[e7a729]馬用サドル： (ミッドナイト)[-]","[e7a729]Pferdesattel: (Mitternacht)[-]"
resourceMidnightHorseSaddleDesc,"[e7a729]This saddle can be used on a midnight horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルをミッドナイト色の馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem Mitternachtspferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste und Sie erhalten ein Pferd! Vincent bringt Ihnen bei wie Sie Ihr Pferd pflegen.[-]"
vehicleMidnightHorsePlaceable,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]","[e7a729]Gezähmtes Mitternachtspferd[-]"
vehicleMidnightHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2MidnightHorsePlaceable,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]","[e7a729]Gezähmtes Mitternachtspferd[-]"
vehicleT2MidnightHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

resourceGrayHorseSaddle,"[e7a729]Horse Saddle: (Gray)[-]","[e7a729]馬用サドル： (灰)[-]","[e7a729]Pferdesattel: (grau)[-]"
resourceGrayHorseSaddleDesc,"[e7a729]This saddle can be used on a gray horse, once you have gained favor with Maybell's Ranch. Left click with this in your hands and you'll get a horse! Vincent will teach you how to care for your horse.[-]","[e7a729]メイベルの牧場での評判が上がると、このサドルを灰色の馬に使用することが出来るようになります。\nこのサドルを手に持った状態で馬に向かって左クリックをすると、インベントリ内に設置可能な馬が入ります。\n\n馬の世話に関しては、ヴィンセントに聞いてみましょう。[-]","[e7a729]Dieser Sattel kann auf einem grauen Pferd verwendet werden sobald Sie bei Maybell's Ranch Gunst erlangt haben. Klicken Sie mit der linken Maustaste um ein Pferd zu bekommen! Vincent bringt Ihnen bei wie Sie Ihr Pferd pflegen.[-]"
vehicleGrayHorsePlaceable,"[e7a729]Tamed Gray Horse[-]","[e7a729]テイム済みの馬(灰)[-]","[e7a729]Gezähmtes graues Pferd[-]"
vehicleGrayHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you. Horses will get hungry over time, losing health. Find apples and feed the horse to replenish health.[-]","[e7a729]設置して乗ります。\nダッシュすると、プレイヤーのスタミナが消費されます。\nインベントリ内にアイテムを入れることが出来ます。\n\n馬は時間が経過するとお腹が空くため、体力が減少してしまいます。\nリンゴを見つけ、馬に食べさせることで、体力を回復する事が出来ます。[-]","[e7a729]Ort zum Reiten. Pferde sprinten mit Ausdauer. Sie können mehr Gewicht für Sie tragen. Pferde werden mit der Zeit hungrig und verlieren an Gesundheit. Finde Äpfel und füttere das Pferd um die Gesundheit wieder aufzufüllen.[-]"
vehicleT2GrayHorsePlaceable,"[e7a729]Tamed Gray Horse[-]","[e7a729]馬用サドル： (灰)[-]","[e7a729]Gezähmtes graues Pferd[-]"
vehicleT2GrayHorsePlaceableDesc,"[e7a729]This horse has been trained in the obstacle course in Maybells ranch. It's now faster and can carry much more weight. It will get hungry slower.[-]","[e7a729]この馬はメイベルの牧場で訓練したため、アップグレードされました。\n\n以前より速く走れ、より多くのアイテムを持つことが出来、お腹が空きにくくなりました。[-]","[e7a729]Dieses Pferd wurde auf dem Hindernisparcours auf der Maybells Ranch trainiert. Es ist jetzt schneller und kann viel mehr Gewicht tragen. Es wird langsamer hungrig.[-]"

foodApple,"[e7a729]Apple[-]","[e7a729]リンゴ[-]","[e7a729]Apfel[-]"
